		Centro	OrdCliente	Planj.MRP	Ordem	Material	Texto breve material	InícProgr.	Fim prog.	FimProgOri	 Qtd.teór.	Qtd.forn.	Qtd. Pend.	Texto da ordem	Mot Atraso	Descrição	Conc Ordem
		1109		010	1132739366	15931952	EIXO ENTRADA	14.01.2025	30.01.2025	30.01.2025	        1	       0	        1	op entregue no corte 06/01 as 07:00 por Marcelo	0012	Usinagem de Eixos - ATRASO	11.02.2025
		1109		010	1132748654	15932137	EIXO ENTRADA	14.01.2025	30.01.2025	30.01.2025	       15	       0	       15	op entregue no corte 06/01 as 07:00 por Marcelo	0012	Usinagem de Eixos - ATRASO	25.02.2025
		1109		010	1132750232	15931980	EIXO ENTRADA	13.01.2025	30.01.2025	30.01.2025	        1	       0	        1	OP ENTREGUE NO CORTE 20/12 AS 07:00 POR MARCELO	0012	Usinagem de Eixos - ATRASO	24.02.2025
		1109		020	1133073811	15959588	EIXO PINHAO OP 2,25 Z012	19.12.2024	30.01.2025	30.01.2025	        1	       0	        1	OP liberada em atraso devido ao refugo na OP 1132750226 - Paola F entregue na serra por Gilnei 06/02	0167	Usinagem Pinhão - ATRASO	10.03.2025
	*								30.01.2025		       47	       0	       47
		1109		020	1132750227	15923616	EIXO RSF MAC 1 DENTE	13.01.2025	31.01.2025	31.01.2025	        1	       0	        1	OP ENTREGUE NO CORTE 20/12 AS 07:00 POR MARCELO	0167	Usinagem Pinhão - ATRASO	12.02.2025
		1109		010	1132822018	15918460	EIXO ENTRADA GD	30.01.2025	31.01.2025	03.02.2025	       10	       0	       10	OP ENTREGUE NO CORTE 13/01 AS 14:30 POR MARCELO	0012	Usinagem de Eixos - ATRASO	11.02.2025
		1109		060	1132935467	15773918	BUCHA 50X70X5mm	27.01.2025	31.01.2025	31.01.2025	        5	       0	        5	op entregue no corte 24/01 as 13:00 por Marcelo	0012	Usinagem de Eixos - ATRASO	28.02.2025
		1109		031	1132969375	14030450	CARCACA WCG20 C05 B3 BASE	28.01.2025	31.01.2025	31.01.2025	       62	       0	       62		0013	Usinagem de fundidos - ATRASO	21.02.2025
		1109		011	1133153106	16035059	EIXO SAIDA HS GS130 60X172	30.01.2025	31.01.2025	31.01.2025	        3	       0	        3	OP liberada em atraso devido a refugo na OP 1133062384 - Paola F. 13.02 OP relida, adicionado L2 ct 386 - Paola F. 19.02
	*								31.01.2025		       81	       0	       81
		1109		010	1132815778	15918527	EIXO ENTRADA	16.01.2025	03.02.2025	03.02.2025	        2	       0	        2	OP ENTREGUE NO CORTE 13/01 AS 10:00 POR MARCELO OP relida, troca de ct 500 para 231 e 271 - Paola F. 13.01	0012	Usinagem de Eixos - ATRASO	24.02.2025
		1109		010	1132815900	15931953	EIXO ENTRADA	16.01.2025	03.02.2025	03.02.2025	        2	       0	        2	OP ENTREGUE NO CORTE 13/01 AS 10:00 POR MARCELO	0012	Usinagem de Eixos - ATRASO	28.02.2025
		1109		020	1132821462	15949904	EIXO RSF MAC M08 2 DENTES	15.01.2025	03.02.2025	04.02.2025	        1	       0	        1	OP ENTREGUE NO CORTE 13/01 AS 14:30 POR MARCELO	0167	Usinagem Pinhão - ATRASO	19.02.2025
		1109		020	1132835132	15949906	EIXO RSF MAC M08 2 DENTES	30.01.2025	03.02.2025	05.02.2025	        6	       0	        6	op entregue no corte 14/01 as 14:30 por marcelo	0167	Usinagem Pinhão - ATRASO	20.02.2025
		1109		010	1132838469	15918519	EIXO ENTRADA GD	16.01.2025	03.02.2025	03.02.2025	        4	       0	        4	op entregue no corte 14/01 as 14:30 por marcelo	0012	Usinagem de Eixos - ATRASO	28.02.2025
		1109		010	1132838470	16069721	EIXO ENTRADA GA	16.01.2025	03.02.2025	03.02.2025	       15	       0	       15	op entregue no corte 14/01 as 14:30 por marcelo	0012	Usinagem de Eixos - ATRASO	25.02.2025
		1109		031	1132892634	14030446	CARCACA WCG20 C03 B35 BASE	23.01.2025	03.02.2025	03.02.2025	       60	       0	       60	Impresso em folha amarela.	0101	Manutenção  - ATRASO	14.03.2025
		1109		050	1132936728	10597862	ANEL INTERNO ANTI REVERSAO 50X90mm	27.01.2025	03.02.2025	03.02.2025	        5	       0	        5	op entregue no corte 24/01 as 13:00 por Marcelo	0013	Usinagem de fundidos - ATRASO	25.02.2025
		1109		110	1132970002	16071057	FLANGE ENTR GSD IEC 120X15 USIN	31.01.2025	03.02.2025	03.02.2025	       30	       0	       30	OP reimpressa a pedido do estoque - Paola F. 03.02 OP relida, troca de ct 398 para 333 - Paola F. 05.02	0013	Usinagem de fundidos - ATRASO	20.02.2025
		1109		031	1132970003	14030470	CARCACA WCG20 C06 B3 BASE	31.01.2025	03.02.2025	03.02.2025	       90	       0	       90		0101	Manutenção  - ATRASO	07.03.2025
		1109		010	1132996785	16035023	EIXO SAIDA HS GD40 35X183	31.01.2025	03.02.2025	03.02.2025	        5	       0	        5	OP ENTREGUE NO CORTE 30/01 AS 15:20 POR MARCELO	0101	Manutenção  - ATRASO	25.02.2025
	*								03.02.2025		      220	       0	      220
		1109		020	1132729364	14040179	EIXO PINHAO WCG20 IMP 1 Z014	31.01.2025	04.02.2025	06.02.2025	       70	       0	       70	Seq. Maq. 91130004   Seq1. 1,0000   Seq2. EIXO_PINHAO   Seq3. DIAMETRO ASSENTO 12,00 OP ENTREGUE NO CORTE 16/01 AS 09:00 POR MARCELO OP relida, alterado CT 453 para 392 - Maira 20.01	0167	Usinagem Pinhão - ATRASO	14.03.2025
		1109		020	1132729397	15955278	EIXO PINHAO IMP 2,5 Z014	20.12.2024	04.02.2025	30.01.2025	        5	       0	        5	OP relida, troca de ct 500 para 231 e 271 - Paola F. 17.12 OPENTREGUE NO CORTE 18/12 AS 13:00 POR MARCELO	0167	Usinagem Pinhão - ATRASO	21.03.2025
		1109		010	1132815779	15931880	EIXO ENTRADA	03.02.2025	04.02.2025	03.02.2025	        5	       0	        5	OP ENTREGUE NO CORTE 13/01 AS 10:00 POR MARCELO	0012	Usinagem de Eixos - ATRASO	28.02.2025
		1109		020	1132821159	15923588	EIXO RSF MAC 1 DENTE	15.01.2025	04.02.2025	04.02.2025	        1	       0	        1	OP ENTREGUE NO CORTE 13/01 AS 14:30 POR MARCELO	0167	Usinagem Pinhão - ATRASO	28.02.2025
